chapter_number,offest,from_page,to_page,source_pdf
1,16,1,8,6th Kan Science Part -1 2025-26
2,16,9,35,6th Kan Science Part -1 2025-26
3,16,36,61,6th Kan Science Part -1 2025-26
4,16,62,80,6th Kan Science Part -1 2025-26
5,16,81,103,6th Kan Science Part -1 2025-26
6,16,104,121,6th Kan Science Part -1 2025-26
7,2,1,21,6th Kan Science Part -2 2025-26
8,2,22,43,6th Kan Science Part -2 2025-26
9,2,44,65,6th Kan Science Part -2 2025-26
10,2,66,90,6th Kan Science Part -2 2025-26
11,2,91,115,6th Kan Science Part -2 2025-26
12,2,116,139,6th Kan Science Part -2 2025-26
1,12,1,15,7th Kan Science Part-1 2025-26
2,12,16,32,7th Kan Science Part-1 2025-26
3,12,33,50,7th Kan Science Part-1 2025-26
4,12,51,63,7th Kan Science Part-1 2025-26
5,12,64,78,7th Kan Science Part-1 2025-26
6,12,79,95,7th Kan Science Part-1 2025-26
7,2,1,15,7th Kan Science Part-2 2025-26
8,2,16,28,7th Kan Science Part-2 2025-26
9,2,29,47,7th Kan Science Part-2 2025-26
10,2,48,64,7th Kan Science Part-2 2025-26
11,2,65,87,7th Kan Science Part-2 2025-26
12,2,88,102,7th Kan Science Part-2 2025-26
13,2,103,116,7th Kan Science Part-2 2025-26
1,10,1,22,8th Kan Science Part -1 2025-26
2,10,23,42,8th Kan Science Part -1 2025-26
3,10,43,53,8th Kan Science Part -1 2025-26
4,10,54,71,8th Kan Science Part -1 2025-26
8,10,72,94,8th Kan Science Part -1 2025-26
9,10,95,110,8th Kan Science Part -1 2025-26
5,4,1,16,8th Kan Science Part -2 2025-26
6,4,17,34,8th Kan Science Part -2 2025-26
7,4,35,53,8th Kan Science Part -2 2025-26
10,4,54,73,8th Kan Science Part -2 2025-26
11,4,74,88,8th Kan Science Part -2 2025-26
12,4,89,107,8th Kan Science Part -2 2025-26
13,4,108,130,8th Kan Science Part -2 2025-26
1,8,1,19,9th Kan Science Part -1 2025-26
2,8,20,36,9th Kan Science Part -1 2025-26
5,8,37,55,9th Kan Science Part -1 2025-26
6,8,56,73,9th Kan Science Part -1 2025-26
7,8,74,96,9th Kan Science Part -1 2025-26
8,8,97,116,9th Kan Science Part -1 2025-26
3,4,1,19,9th Kan Science Part -2 2025-26
4,4,20,35,9th Kan Science Part -2 2025-26
9,4,36,56,9th Kan Science Part -2 2025-26
10,4,57,79,9th Kan Science Part -2 2025-26
11,4,80,99,9th Kan Science Part -2 2025-26
12,4,100,120,9th Kan Science Part -2 2025-26
1,12,1,20,10th Kan Science Part-1 2025-26
2,12,21,44,10th Kan Science Part-1 2025-26
5,12,45,73,10th Kan Science Part-1 2025-26
6,12,74,90,10th Kan Science Part-1 2025-26
11,12,91,119,10th Kan Science Part-1 2025-26
12,12,120,136,10th Kan Science Part-1 2025-26
3,2,1,27,10th Kan Science Part-2 2025-26
4,2,28,55,10th Kan Science Part-2 2025-26
7,2,56,74,10th Kan Science Part-2 2025-26
8,2,75,82,10th Kan Science Part-2 2025-26
9,2,83,117,10th Kan Science Part-2 2025-26
10,2,118,130,10th Kan Science Part-2 2025-26
13,2,131,141,10th Kan Science Part-2 2025-26